Repo_id,URL,VAG,AWS,AZ,PUP,TF/OT,SS,PUL,BIC,DOCK,CHEF,GOOG,KUB,validated_files
claranet_spryker-demoshop,https://github.com/claranet/spryker-demoshop,0,0,0,0,0,0,0,0,1,0,0,0,
nocproject_noc,https://github.com/nocproject/noc,0,0,0,0,0,0,0,0,1,0,0,0,
MaharaProject_mahara,https://github.com/MaharaProject/mahara,0,0,0,0,0,0,0,0,1,0,0,0,
mirumee_saleor,https://github.com/mirumee/saleor,0,0,0,0,0,0,0,0,1,0,0,0,
cfpb_hmda-platform,https://github.com/cfpb/hmda-platform,0,0,0,0,0,0,0,0,1,0,0,1,
superdesk_superdesk,https://github.com/superdesk/superdesk,0,0,0,0,0,0,0,0,1,0,0,0,
EGroupware_egroupware,https://github.com/EGroupware/egroupware,0,0,0,0,0,0,0,0,1,0,0,0,
mozilla-bteam_bmo,https://github.com/mozilla-bteam/bmo,0,0,0,0,0,0,0,0,1,0,0,0,
golastmile_rasa_nlu,https://github.com/golastmile/rasa_nlu,0,0,0,0,0,0,0,0,1,0,0,0,
taskcluster_taskcluster,https://github.com/taskcluster/taskcluster,1,0,0,0,0,0,0,0,1,0,0,0,C:\Users\camyi\taskcluster_taskcluster\workers\docker-worker\Vagrantfile
samvera_hyrax,https://github.com/samvera/hyrax,0,0,0,0,0,0,0,0,1,0,0,0,
milvus-io_milvus,https://github.com/milvus-io/milvus,0,0,0,0,0,0,0,0,1,0,0,1,
daos-stack_daos,https://github.com/daos-stack/daos,0,0,0,0,0,0,0,0,1,0,0,0,
weseek_growi,https://github.com/weseek/growi,0,0,0,0,1,0,0,0,1,0,0,0,C:\Users\camyi\weseek_growi\apps\app\docker\codebuild\codebuild.tf
onap_clamp,https://github.com/onap/clamp,0,0,0,0,0,0,0,0,1,0,0,0,
4teamwork_opengever.core,https://github.com/4teamwork/opengever.core,0,0,0,0,0,0,0,0,1,0,0,0,
codalab_codalab-competitions,https://github.com/codalab/codalab-competitions,0,0,0,0,0,0,0,0,1,0,0,0,
pravega_pravega,https://github.com/pravega/pravega,0,0,0,0,0,0,0,0,1,0,0,0,
sillsdev_web-languageforge,https://github.com/sillsdev/web-languageforge,0,0,0,0,0,0,0,0,1,0,0,0,
mesosphere_marathon,https://github.com/mesosphere/marathon,1,0,0,0,0,0,0,0,1,0,0,0,C:\Users\camyi\mesosphere_marathon\tests\jepsen\Vagrantfile
rucio_rucio,https://github.com/rucio/rucio,0,0,0,0,0,0,0,0,1,0,0,0,
MarkUsProject_Markus,https://github.com/MarkUsProject/Markus,1,0,0,0,0,0,0,0,1,0,0,0,C:\Users\camyi\MarkUsProject_Markus\Vagrantfile
onap_multicloud-k8s,https://github.com/onap/multicloud-k8s,1,0,0,0,0,0,0,0,1,0,0,1,C:\Users\camyi\onap_multicloud-k8s\kud\hosting_providers\containerized\testing\Vagrantfile
poanetwork_blockscout,https://github.com/poanetwork/blockscout,0,0,0,0,0,0,0,0,1,0,0,0,
hyperledger_besu,https://github.com/hyperledger/besu,0,0,0,0,0,0,0,0,1,0,0,0,
